,State,0,1,2,3,4,5,6,7,8
0,GHZ,-0.2884086126036214,1.4733188002935549e-09,-0.8853097886852446,-0.500000001719584,-2.6404154418457892e-09,-0.21159138483427498,0.8853097918138199,-0.9999999973878071,-0.5000000007534646
1,GHZ,-0.0002705522195869219,9.348322915769813e-06,0.5646408051621731,0.4999957562071311,-0.004155403760855547,-0.4997164526238258,-0.4312105263110071,0.9999940567063602,-0.5000085740160676
2,GHZ,-0.4763340488648664,-0.8879536929009204,0.904776725367237,-5.756876146715928e-06,-0.4247567736274287,-0.4973859301806298,-0.1120367788163521,0.4211902528175396,-0.10064438068943615
3,GHZ,0.9999981648954492,-5.667381815722997e-06,0.7442385984269723,0.5000149919252052,-0.5063389830430265,0.500002632960467,-0.7620887528026838,0.9999943245777314,0.5000028045378074
4,GHZ,0.8344843976014147,-0.21754925562878213,-0.6604391575445234,-0.5408611802489105,-0.2056951852944735,-0.6256253296652261,0.433906253549015,-0.15285997781982985,0.6925816697336002
5,GHZ,-1.0145052167999857e-05,5.178334930113752e-06,0.04697797203860876,0.5000021359170984,-0.1395465122710684,0.5000203295872081,-0.8134754412473755,6.833292018079437e-06,0.4999960224541016
6,W,-0.7509531269658696,-0.5000000730046259,0.42826793274883984,-0.25000016336676323,0.6963614798877189,0.1661156515415146,0.8727402445317471,-0.8943631339670153,0.5237309261321027
7,W,0.1809548805630499,-0.4999979919081296,0.16714786818714805,-0.25000584082126937,-0.722886121085112,0.12430660646423966,0.1895388513961379,0.05583461037026849,0.4068614617204301
8,W,0.23222782946648246,-0.4999895692886375,0.2805926680751143,-0.250015939026749,0.29607649385877743,-0.15622476147394548,0.0308047139881267,0.08478982311623094,-0.4320079164597723
9,W,0.11091846154264841,-0.5000079456306245,0.2149241394151811,-0.25000353790467106,0.2598614405183999,-0.07761922169229567,0.19585748948557888,0.06923343482651385,0.5837955092144078
10,W,-0.15878530988225828,0.5000132175630105,-0.25864416164809767,0.25001262941109686,-0.7293797241220901,-0.10984889761104213,-0.11498670690612255,-0.07997235722083758,0.42638142249174726
11,W,0.18596603178367535,-0.5000097955440407,0.8294793877573208,-0.2499910936005426,0.27871196319560554,-0.12752901376473108,-0.4603454284445687,0.05682871981668372,-0.5925469888778931
