Label,Fidelity,Actions,Verbose Sequence
GHZ,0.999999999999998,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
GHZ + noise,0.999992780027467,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
GHZ + noise,0.9999431350687101,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
GHZ + noise,1.0000123051581347,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
GHZ + noise,1.0000264289953518,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
GHZ + noise,1.0000278449719118,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
W,0.9999999999897863,"[2.0, 6.0, 9.0, 10.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0]","0-1, 1-2, 2-1, 2-3, 1-2, 1-0"
W + noise,0.9999935120943816,"[2.0, 6.0, 10.0, 9.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","0-1, 1-2, 2-3, 2-1, 1-0"
W + noise,1.000013543427485,"[2.0, 6.0, 10.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","0-1, 1-2, 2-3, 1-2, 1-0"
W + noise,1.0000047487669343,"[2.0, 6.0, 10.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","0-1, 1-2, 2-3, 1-2, 1-0"
W + noise,0.9999940519462279,"[2.0, 6.0, 10.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","0-1, 1-2, 2-3, 1-2, 1-0"
W + noise,1.000037372217506,"[2.0, 6.0, 10.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","0-1, 1-2, 2-3, 1-2, 1-0"
